Date,Configuration,Customer Postcode,Store Postcode,Retail Price,Screen Size (Inches),Battery Life (Hours),RAM (GB),Processor Speeds (GHz),Integrated Wireless?,HD Size (GB),Bundled Applications?,CustomerStoreDistance
1/1/2008 2:59,344,E17 9NL,E2 0RY,590,15,6,2,1.5,Yes,300,No,6400.10078
1/1/2008 3:20,337,W1T 1NT,NW5 2QH,520,15,6,2,1.5,Yes,40,Yes,3656.114468
1/1/2008 3:23,293,E14 6JP,E2 0RY,530,15,6,1,1.5,Yes,120,Yes,2258.434192
1/1/2008 3:24,213,SE1 1TA,SW1P 3AU,525,15,5,2,2,Yes,120,Yes,2545.665532
1/1/2008 3:29,200,W1D 7HS,SW1V 4QQ,510,15,5,2,1.5,Yes,300,No,2365.363397
1/1/2008 3:47,152,E6 1PW,E7 8NW,460,15,5,1,1.5,Yes,300,No,1242.059982
1/1/2008 3:58,197,NW6 7JR,NW5 2QH,500,15,5,2,1.5,Yes,120,Yes,4461.642971
1/1/2008 4:05,9,WC1H 8BS,SW1V 4QQ,350,15,4,1,1.5,No,40,Yes,4392.613459
1/1/2008 4:07,217,SE25 4UF,CR7 8LE,445,15,5,2,2,No,40,Yes,1472.918192
1/1/2008 4:15,163,WC1N 3ES,SW1P 3AU,455,15,5,1,2,Yes,80,Yes,2492.297936
1/1/2008 4:16,19,SW1V 3AS,SW1P 3AU,435,15,4,1,2,Yes,80,Yes,1384.442487
1/1/2008 4:25,340,NW1 0JH,NW5 2QH,510,15,6,2,1.5,Yes,80,No,1745.569248
1/1/2008 4:25,16,SW1X 7BA,SW1V 4QQ,420,15,4,1,1.5,No,300,No,1122.942563
1/1/2008 4:52,80,W1D 3TA,NW5 2QH,495,15,4,2,2,No,300,No,3969.416708
1/1/2008 4:53,320,W1P 9LG,SW1P 3AU,545,15,6,1,2,No,300,No,2454.789808
1/1/2008 5:15,215,TW9 3AH,SW18 1NN,585,15,5,2,2,Yes,300,Yes,6737.805281
1/1/2008 5:26,167,KT6 4AG,SW18 1NN,535,15,5,1,2,Yes,300,Yes,10612.69136
1/1/2008 5:28,291,NW1 8QR,NW5 2QH,510,15,6,1,1.5,Yes,80,Yes,1252.790884
1/1/2008 5:32,218,SW4 7EX,SW1V 4QQ,395,15,5,2,2,No,40,No,3500.188138
1/1/2008 5:38,345,W1T 7QJ,SW1V 4QQ,500,15,6,2,1.5,No,40,Yes,3302.634706
1/1/2008 5:43,311,W1D 5BH,NW5 2QH,615,15,6,1,2,Yes,300,Yes,4300.634488
1/1/2008 5:46,175,SE1 1NA,SW1P 3AU,515,15,5,1,2,No,300,Yes,2825.344758
1/1/2008 5:47,1,E1 6NU,E2 0RY,370,15,4,1,1.5,Yes,40,Yes,2250.489947
1/1/2008 5:58,222,SW16 6LQ,SW18 1NN,455,15,5,2,2,No,120,No,5986.939953
1/1/2008 6:00,199,SW19 2BH,CR7 8LE,560,15,5,2,1.5,Yes,300,Yes,6352.7217
1/1/2008 6:08,7,W1T 1TA,SW1P 3AU,490,15,4,1,1.5,Yes,300,Yes,2092.732185
1/1/2008 6:22,301,W1P 5DA,SW1P 3AU,510,15,6,1,1.5,No,120,Yes,2673.86331
1/1/2008 6:24,159,N1 6BU,NW5 2QH,490,15,5,1,1.5,No,300,Yes,4441.286413
1/1/2008 6:24,317,E13 9AR,E7 8NW,535,15,6,1,2,No,120,Yes,588.5142309
1/1/2008 6:31,2,EC1R 3AN,NW5 2QH,320,15,4,1,1.5,Yes,40,No,3755.612467
1/1/2008 6:45,213,SW7 4SS,SW1V 4QQ,525,15,5,2,2,Yes,120,Yes,2655.474534
1/1/2008 6:49,163,NW5 1SP,N3 1DH,455,15,5,1,2,Yes,80,Yes,5869.481493
1/1/2008 6:56,357,SW7 4SS,SW1V 4QQ,605,15,6,2,2,Yes,120,Yes,2655.474534
1/1/2008 6:56,289,W1B 5QH,SW1P 3AU,470,15,6,1,1.5,Yes,40,Yes,1590.4732
1/1/2008 7:02,213,SE1 2JX,E2 0RY,525,15,5,2,2,Yes,120,Yes,3722.16617
1/1/2008 7:04,51,W1F 9QP,SW1V 4QQ,460,15,4,2,1.5,Yes,80,Yes,2606.377755
1/1/2008 7:06,339,EC4R 0AT,E2 0RY,560,15,6,2,1.5,Yes,80,Yes,3640.759948
1/1/2008 7:14,23,WC2R 3LD,SW1V 4QQ,515,15,4,1,2,Yes,300,Yes,3303.907535
1/1/2008 7:19,176,NW6 7JR,W10 6HQ,465,15,5,1,2,No,300,No,2800.606006
1/1/2008 7:26,354,SE10 8RT,SE8 3JD,495,15,6,2,2,Yes,40,No,1342.112141
1/1/2008 7:32,195,W2 1HB,W10 6HQ,480,15,5,2,1.5,Yes,80,Yes,2370.750092
1/1/2008 7:49,202,WC1N 3NB,SW1P 3AU,370,15,5,2,1.5,No,40,No,2482.016317
1/1/2008 7:52,313,EC1Y 8JH,SE1 2BN,475,15,6,1,2,No,40,Yes,2938.070966
1/1/2008 8:11,348,N13 4JD,N3 1DH,490,15,6,2,1.5,No,80,No,6494.163611
1/1/2008 8:13,311,WC2R 3JJ,SW1P 3AU,615,15,6,1,2,Yes,300,Yes,1803.244298
1/1/2008 8:21,176,W1H 1DG,SW1V 4QQ,465,15,5,1,2,No,300,No,3567.393727
1/1/2008 8:23,57,EC1A 9LB,SE1 2BN,400,15,4,2,1.5,No,40,Yes,3027.184996
1/1/2008 8:24,363,N1 9HS,NW5 2QH,565,15,6,2,2,No,80,Yes,2824.529164
1/1/2008 8:29,294,WC2N 6NE,SE1 2BN,480,15,6,1,1.5,Yes,120,No,3801.388299
1/1/2008 8:30,197,W1H 5HE,W10 6HQ,500,15,5,2,1.5,Yes,120,Yes,3213.525323
1/1/2008 8:32,159,WC1N 3LZ,SW1V 4QQ,490,15,5,1,1.5,No,300,Yes,4053.780951
1/1/2008 8:38,302,SE1 0LH,SE1 2BN,460,15,6,1,1.5,No,120,No,2144.586207
1/1/2008 8:40,306,EC2A 2ER,E2 0RY,445,15,6,1,2,Yes,40,No,2888.231639
1/1/2008 8:45,14,SW4 6DZ,SW12 9HD,360,15,4,1,1.5,No,120,No,2836.093264
1/1/2008 8:50,167,SE1 8NY,SW1V 4QQ,535,15,5,1,2,Yes,300,Yes,3291.299136
1/1/2008 9:03,348,W1P 3RE,NW5 2QH,490,15,6,2,1.5,No,80,No,3838.897368
1/1/2008 9:18,292,W1W 5QU,SW1V 4QQ,460,15,6,1,1.5,Yes,80,No,3682.456789
1/1/2008 9:24,15,EC1R 0DY,SW1P 3AU,470,15,4,1,1.5,No,300,Yes,2995.88401
1/1/2008 9:27,340,E1 8EN,SW1P 3AU,510,15,6,2,1.5,Yes,80,No,4367.740148
1/1/2008 9:51,337,EC2A 2ER,SW1P 3AU,520,15,6,2,1.5,Yes,40,Yes,3809.845404
1/1/2008 9:52,296,SW11 2JU,SW1V 4QQ,540,15,6,1,1.5,Yes,300,No,2899.465468
1/1/2008 9:53,29,SE1 0LH,SW1V 4QQ,435,15,4,1,2,No,120,Yes,3414.488688
1/1/2008 10:03,308,SW14 7QR,W4 3PH,485,15,6,1,2,Yes,80,No,1680.705804
1/1/2008 10:06,11,W8 7LN,SW1V 4QQ,390,15,4,1,1.5,No,80,Yes,3938.776714
1/1/2008 10:06,360,KT1 3DS,KT2 5AU,615,15,6,2,2,Yes,300,No,1443.71777
1/1/2008 10:06,68,SE16 2HB,SE1 2BN,435,15,4,2,2,Yes,80,No,1125.466126
1/1/2008 10:30,352,W4 5TF,W10 6HQ,570,15,6,2,1.5,No,300,No,4773.628913
1/1/2008 10:39,310,E1 8AH,E2 0RY,505,15,6,1,2,Yes,120,No,2631.041239
1/1/2008 10:45,55,SE1 0LH,SW1P 3AU,540,15,4,2,1.5,Yes,300,Yes,2078.079883
1/1/2008 10:55,299,SE25 6NJ,SW12 9HD,490,15,6,1,1.5,No,80,Yes,6727.353863
1/1/2008 10:56,357,W1W 6PS,SW1V 4QQ,605,15,6,2,2,Yes,120,Yes,3300.475117
1/1/2008 10:57,311,W1T 3PG,NW5 2QH,615,15,6,1,2,Yes,300,Yes,3768.807238
1/1/2008 11:00,299,EC4A 4AB,SW1V 4QQ,490,15,6,1,1.5,No,80,Yes,3983.994478
1/1/2008 11:09,201,NW1 8QU,W10 6HQ,420,15,5,2,1.5,No,40,Yes,5226.812604
1/1/2008 11:18,362,SW1H 0DB,SW1P 3AU,475,15,6,2,2,No,40,No,264.068173
1/1/2008 11:31,56,W1W 7QL,SW1V 4QQ,490,15,4,2,1.5,Yes,300,No,3162.781213
1/1/2008 11:33,345,SW4 7EX,SW1P 3AU,500,15,6,2,1.5,No,40,Yes,4555.058068
1/1/2008 11:37,315,E15 4BQ,E2 0RY,515,15,6,1,2,No,80,Yes,3607.624426
1/1/2008 11:41,357,SE16 4QZ,E2 0RY,605,15,6,2,2,Yes,120,Yes,4016.567813
1/1/2008 11:48,154,W1T 2AW,NW5 2QH,320,15,5,1,1.5,No,40,No,3432.098192
1/1/2008 11:56,18,EC4Y 1DG,SW1V 4QQ,345,15,4,1,2,Yes,40,No,3785.5141
1/1/2008 12:18,209,SW11 1RU,SW1V 4QQ,465,15,5,2,2,Yes,40,Yes,3373.588297
1/1/2008 12:21,290,E1 4TP,SE1 2BN,420,15,6,1,1.5,Yes,40,No,2507.499352
1/1/2008 12:24,70,W1U 1QB,SW1P 3AU,455,15,4,2,2,Yes,120,No,2216.804231
1/1/2008 12:24,302,SE5 8RS,SW1V 4QQ,460,15,6,1,1.5,No,120,No,4139.233383
1/1/2008 12:24,362,SW1X 7NR,W10 6HQ,475,15,6,2,2,No,40,No,4423.052566
1/1/2008 12:27,307,E10 6AE,E7 8NW,535,15,6,1,2,Yes,80,Yes,4995.849978
1/1/2008 12:29,223,EC4Y 1DG,SW1V 4QQ,565,15,5,2,2,No,300,Yes,3785.5141
1/1/2008 12:29,219,NW1 4EE,NW5 2QH,485,15,5,2,2,No,80,Yes,2709.982288
1/1/2008 12:40,347,WC2E 9EB,SW1V 4QQ,540,15,6,2,1.5,No,80,Yes,2723.862148
1/1/2008 12:41,79,W1D 7PJ,SW1P 3AU,545,15,4,2,2,No,300,Yes,1282.579042
1/1/2008 12:45,357,N1 1HW,NW5 2QH,605,15,6,2,2,Yes,120,Yes,2308.150992
1/1/2008 12:51,350,WC2E 8RF,SE1 2BN,510,15,6,2,1.5,No,120,No,3903.211626
1/1/2008 13:08,362,SE23 3HE,CR7 8LE,475,15,6,2,2,No,40,No,5350.520442
1/1/2008 13:09,157,EC1V 4PH,NW5 2QH,430,15,5,1,1.5,No,120,Yes,3644.544965
1/1/2008 13:32,64,NW6 4JD,SW1P 3AU,470,15,4,2,1.5,No,300,No,6400.219449
1/1/2008 13:44,176,SE10 9NW,SE1 2BN,465,15,5,1,2,No,300,No,4886.874052
1/1/2008 13:54,367,W1U 1QB,SW1P 3AU,645,15,6,2,2,No,300,Yes,2216.804231
1/1/2008 14:12,319,N1 0AX,NW5 2QH,595,15,6,1,2,No,300,Yes,1913.579107
1/1/2008 14:15,320,EC3N 1AL,E2 0RY,545,15,6,1,2,No,300,No,2605.916729
1/1/2008 14:20,302,NW1 8XD,SW1P 3AU,460,15,6,1,1.5,No,120,No,4858.361246
1/1/2008 14:22,203,W1U 2SA,SW1V 4QQ,460,15,5,2,1.5,No,80,Yes,2932.423571
1/1/2008 14:23,316,EC4N 4SJ,E2 0RY,465,15,6,1,2,No,80,No,3800.263807
1/1/2008 14:48,315,W1P 3RE,SW1V 4QQ,515,15,6,1,2,No,80,Yes,2963.085216
1/1/2008 14:53,4,W1G 0PP,SW1P 3AU,360,15,4,1,1.5,Yes,80,No,1946.361991
1/1/2008 14:58,302,WC2B 5QD,SW1P 3AU,460,15,6,1,1.5,No,120,No,1758.004551
1/1/2008 15:02,301,NW3 2QE,NW5 2QH,510,15,6,1,1.5,No,120,Yes,2004.860344
1/1/2008 15:16,55,W1X 7FJ,SW1V 4QQ,540,15,4,2,1.5,Yes,300,Yes,1950.232037
1/1/2008 15:28,359,W2 1PU,SW1P 3AU,665,15,6,2,2,Yes,300,Yes,3374.25088
1/1/2008 15:29,80,W1W 7JB,SW1V 4QQ,495,15,4,2,2,No,300,No,3038.515756
1/1/2008 15:32,29,SE26 5HB,SW12 9HD,435,15,4,1,2,No,120,Yes,7281.942392
1/1/2008 15:35,202,W1T 6QF,NW5 2QH,370,15,5,2,1.5,No,40,No,3156.610999
1/1/2008 15:43,213,SE1 7NZ,SW1V 4QQ,525,15,5,2,2,Yes,120,Yes,2334.034276
1/1/2008 15:44,5,SE14 6LA,SE8 3JD,430,15,4,1,1.5,Yes,120,Yes,954.2211484
1/1/2008 15:52,292,W1H 4LQ,SW1V 4QQ,460,15,6,1,1.5,Yes,80,No,3471.315745
1/1/2008 15:53,58,E1W 3SP,SE1 2BN,350,15,4,2,1.5,No,40,No,1278.039514
1/1/2008 15:55,310,N1 0AX,SW1P 3AU,505,15,6,1,2,Yes,120,No,4034.17662
1/1/2008 15:59,80,SE14 6TY,E2 0RY,495,15,4,2,2,No,300,No,6089.177941
1/1/2008 16:03,312,N4 2DE,E2 0RY,565,15,6,1,2,Yes,300,No,5791.659175
1/1/2008 16:09,80,W1T 1HH,NW5 2QH,495,15,4,2,2,No,300,No,3860.408916
1/1/2008 16:14,303,SE8 4RZ,SE1 2BN,570,15,6,1,1.5,No,300,Yes,4297.880641
1/1/2008 16:16,65,KT2 7PX,W4 3PH,445,15,4,2,2,Yes,40,Yes,7570.433343
1/1/2008 16:24,357,SE26 4QY,SW12 9HD,605,15,6,2,2,Yes,120,Yes,6292.73168
1/1/2008 16:25,358,SE3 9LE,SE1 2BN,555,15,6,2,2,Yes,120,No,6685.560934
1/1/2008 16:29,63,SE11 4XD,SW1P 3AU,520,15,4,2,1.5,No,300,Yes,1926.407018
1/1/2008 16:37,199,EC1Y 8JH,SE1 2BN,560,15,5,2,1.5,Yes,300,Yes,2938.070966
1/1/2008 16:40,169,CR0 1NF,SW18 1NN,395,15,5,1,2,No,40,Yes,12451.79521
1/1/2008 16:42,167,SE1 8QA,SW1P 3AU,535,15,5,1,2,Yes,300,Yes,1521.828177
1/1/2008 16:42,302,SE22 8EW,SW12 9HD,460,15,6,1,1.5,No,120,No,5514.405226
1/1/2008 16:48,149,W1F 0QA,SW1V 4QQ,450,15,5,1,1.5,Yes,120,Yes,2706.967676
1/1/2008 16:57,316,W1J 7QQ,SW1P 3AU,465,15,6,1,2,No,80,No,1314.543647
1/1/2008 16:58,352,N1 9NL,NW5 2QH,570,15,6,2,1.5,No,300,No,2547.135254
1/1/2008 17:02,74,SW19 5BA,KT2 5AU,375,15,4,2,2,No,40,No,5964.788764
1/1/2008 17:03,175,W11 1PY,SW1P 3AU,515,15,5,1,2,No,300,Yes,5763.564349
1/1/2008 17:05,175,EC1V 9NU,SE1 2BN,515,15,5,1,2,No,300,Yes,3268.534381
1/1/2008 17:05,24,E1 6TD,SW1P 3AU,465,15,4,1,2,Yes,300,No,4530.515423
1/1/2008 17:06,176,EC1V 7DT,E2 0RY,465,15,5,1,2,No,300,No,3755.10386
1/1/2008 17:06,197,SE19 2EZ,SE8 3JD,500,15,5,2,1.5,Yes,120,Yes,8233.392071
1/1/2008 17:07,349,W1H 7PP,SW1P 3AU,560,15,6,2,1.5,No,120,Yes,2669.04777
1/1/2008 17:15,208,NW1 2HR,SW1V 4QQ,490,15,5,2,1.5,No,300,No,4188.907734
1/1/2008 17:16,75,SE17 1RL,SW1V 4QQ,465,15,4,2,2,No,80,Yes,3387.765193
1/1/2008 17:20,348,WC2R 2PP,SW1V 4QQ,490,15,6,2,1.5,No,80,No,3170.193212
1/1/2008 17:24,80,E1W 1AP,SE1 2BN,495,15,4,2,2,No,300,No,940.6146926
1/1/2008 17:25,202,E15 4NL,E2 0RY,370,15,5,2,1.5,No,40,No,4117.222972
1/1/2008 17:38,196,W1T 1DG,NW5 2QH,430,15,5,2,1.5,Yes,80,No,3674.39478
1/1/2008 17:45,223,SE1 2LX,E2 0RY,565,15,5,2,2,No,300,Yes,3511.302892
1/1/2008 17:46,208,W1X 7FJ,SW1P 3AU,490,15,5,2,1.5,No,300,No,1559.456957
1/1/2008 17:53,176,EC1V 7DT,SE1 2BN,465,15,5,1,2,No,300,No,3550.003521
1/1/2008 18:14,80,SE6 4RE,SE1 2BN,495,15,4,2,2,No,300,No,6939.128548
1/1/2008 18:20,308,SE19 1TQ,SW12 9HD,485,15,6,1,2,Yes,80,No,5246.759476
1/1/2008 18:46,53,W1D 4UB,SW1P 3AU,480,15,4,2,1.5,Yes,120,Yes,1364.15395
1/1/2008 19:05,163,W9 1EH,SW1P 3AU,455,15,5,1,2,Yes,80,Yes,4690.756122
1/1/2008 19:08,361,W1B 5QH,SW1V 4QQ,525,15,6,2,2,No,40,Yes,2612.879255
1/1/2008 19:12,349,NW1 2HR,NW5 2QH,560,15,6,2,1.5,No,120,Yes,2606.695418
1/1/2008 19:14,58,W1H 5HE,W10 6HQ,350,15,4,2,1.5,No,40,No,3213.525323
1/1/2008 19:32,77,EC1M 6AW,SW1P 3AU,485,15,4,2,2,No,120,Yes,2969.950336
1/1/2008 19:33,316,NW1 7NB,W10 6HQ,465,15,6,1,2,No,80,No,5047.405076
1/1/2008 19:34,20,EC1R 0EG,SW1P 3AU,385,15,4,1,2,Yes,80,No,3021.122474
1/1/2008 19:36,175,E14 9NS,SE1 2BN,515,15,5,1,2,No,300,Yes,4346.26932
1/1/2008 19:43,32,EC1M 6BH,SW1P 3AU,445,15,4,1,2,No,300,No,2861.315257
1/1/2008 19:48,173,EC3M 7AN,E2 0RY,455,15,5,1,2,No,120,Yes,3225.614515
1/1/2008 20:05,345,NW1 2DN,SW1P 3AU,500,15,6,2,1.5,No,40,Yes,3036.18593
1/1/2008 20:10,16,SW2 2UB,SW1V 4QQ,420,15,4,1,1.5,No,300,No,4809.103139
1/1/2008 20:12,67,E17 9NL,N17 6QA,485,15,4,2,2,Yes,80,Yes,4193.931926
1/1/2008 20:15,79,SE1 9EF,SW1P 3AU,545,15,4,2,2,No,300,Yes,2656.261471
1/1/2008 20:31,67,W1W 7EP,SW1P 3AU,485,15,4,2,2,Yes,80,Yes,2122.08129
1/1/2008 20:32,310,WC2H 9EB,SW1V 4QQ,505,15,6,1,2,Yes,120,No,3020.818598
1/1/2008 20:35,367,EC1Y 1BD,E2 0RY,645,15,6,2,2,No,300,Yes,2925.861412
1/1/2008 20:36,313,SE22 0RR,SE8 3JD,475,15,6,1,2,No,40,Yes,4175.740054
1/1/2008 20:38,78,BR3 1AG,SW12 9HD,435,15,4,2,2,No,120,No,9296.258387
1/1/2008 20:41,297,SE3 0QJ,SE8 3JD,450,15,6,1,1.5,No,40,Yes,2673.08062
1/1/2008 20:44,173,E2 8DA,SE1 2BN,455,15,5,1,2,No,120,Yes,3126.878635
1/1/2008 20:51,23,W7 3TX,KT2 5AU,515,15,4,1,2,Yes,300,Yes,10079.86954
1/1/2008 20:58,21,E14 8BX,E2 0RY,455,15,4,1,2,Yes,120,Yes,2396.077002
1/1/2008 20:58,78,SE26 4QJ,SE8 3JD,435,15,4,2,2,No,120,No,6219.249553
1/1/2008 21:02,291,EC4N 1SP,E2 0RY,510,15,6,1,1.5,Yes,80,Yes,3696.918987
1/1/2008 21:15,302,EC1V 9NU,SW1P 3AU,460,15,6,1,1.5,No,120,No,4070.081203
1/1/2008 21:25,345,W1D 4UB,SW1P 3AU,500,15,6,2,1.5,No,40,Yes,1364.15395
1/1/2008 21:26,148,SE1 8DA,SW1V 4QQ,380,15,5,1,1.5,Yes,80,No,3080.972087
1/1/2008 21:30,342,N2 9HR,NW5 2QH,530,15,6,2,1.5,Yes,120,No,4555.474619
1/1/2008 21:47,218,N5 1EA,E2 0RY,395,15,5,2,2,No,40,No,4913.711937
1/1/2008 22:02,304,EC4A 3JB,SW1V 4QQ,520,15,6,1,1.5,No,300,No,3874.836384
1/1/2008 22:19,290,SE20 8RZ,CR7 8LE,420,15,6,1,1.5,Yes,40,No,3184.159073
1/1/2008 22:27,16,W1T 7QJ,NW5 2QH,420,15,4,1,1.5,No,300,No,3585.606922
1/1/2008 22:27,19,W1P 1HJ,SW1P 3AU,435,15,4,1,2,Yes,80,Yes,2045.491628
1/1/2008 22:29,365,SE16 5EJ,E2 0RY,585,15,6,2,2,No,120,Yes,2866.626066
1/1/2008 22:32,297,CR0 1RG,SW18 1NN,450,15,6,1,1.5,No,40,Yes,12034.58387
1/1/2008 22:35,15,E1 7PT,E2 0RY,470,15,4,1,1.5,No,300,Yes,2459.071573
1/1/2008 22:38,358,SW8 3QH,SW12 9HD,555,15,6,2,2,Yes,120,No,3411.106858
1/1/2008 22:40,342,NW1 1HB,NW5 2QH,530,15,6,2,1.5,Yes,120,No,2246.293169
1/1/2008 22:47,175,SE19 2EZ,SW12 9HD,515,15,5,1,2,No,300,Yes,5454.857652
1/1/2008 22:51,357,SW1A 2DD,SW1P 3AU,605,15,6,2,2,Yes,120,Yes,719.1196006
1/1/2008 22:55,358,W1W 7EP,SW1P 3AU,555,15,6,2,2,Yes,120,No,2122.08129
1/1/2008 23:00,58,SW8 2TH,SE1 2BN,350,15,4,2,1.5,No,40,No,4374.5026
1/1/2008 23:05,292,W1S 2JL,SW1V 4QQ,460,15,6,1,1.5,Yes,80,No,2356.265053
1/1/2008 23:06,197,W1F 9QP,SW1V 4QQ,500,15,5,2,1.5,Yes,120,Yes,2606.377755
1/1/2008 23:08,355,E7 8LJ,SE8 3JD,585,15,6,2,2,Yes,80,Yes,7526.066702
1/1/2008 23:20,69,WC1H 8BS,NW5 2QH,505,15,4,2,2,Yes,120,Yes,2751.288062
1/1/2008 23:33,353,N17 6QA,N17 6QA,545,15,6,2,2,Yes,40,Yes,0
1/1/2008 23:43,80,E1 7RQ,E2 0RY,495,15,4,2,2,No,300,No,2296.855677
1/1/2008 23:47,294,W1S 1PD,SW1P 3AU,480,15,6,1,1.5,Yes,120,No,1605.236743
1/1/2008 23:47,346,E14 7LS,E2 0RY,450,15,6,2,1.5,No,40,No,1800.761228
1/1/2008 23:49,348,W12 9DH,SW18 1NN,490,15,6,2,1.5,No,80,No,5695.640877
1/1/2008 23:54,297,N7 9BL,NW5 2QH,450,15,6,1,1.5,No,40,Yes,1235.040485
1/1/2008 23:56,151,E1 7HP,E2 0RY,510,15,5,1,1.5,Yes,300,Yes,2563.553198
1/2/2008 0:10,149,E1W 1AP,SE8 3JD,450,15,5,1,1.5,Yes,120,Yes,4174.47877
1/2/2008 0:22,71,SW4 7AA,SW18 1NN,565,15,4,2,2,Yes,300,Yes,4304.74343
1/2/2008 0:26,317,EC1R 0DY,NW5 2QH,535,15,6,1,2,No,120,Yes,3778.266401
1/2/2008 0:29,320,SW8 1XX,SE1 2BN,545,15,6,1,2,No,300,No,4349.860343
1/2/2008 0:29,75,N22 6UX,N3 1DH,465,15,4,2,2,No,80,Yes,5824.895278
1/2/2008 0:33,77,SE1 9AL,SE1 2BN,485,15,4,2,2,No,120,Yes,1501.900463
1/2/2008 0:35,167,EC1V 4JP,SW1P 3AU,535,15,5,1,2,Yes,300,Yes,3071.012862
1/2/2008 0:56,64,E1 4TP,E2 0RY,470,15,4,2,1.5,No,300,No,1143.788879
1/2/2008 0:59,292,W1D 7HS,SW1V 4QQ,460,15,6,1,1.5,Yes,80,No,2365.363397
1/2/2008 1:01,210,SE17 3EW,SE1 2BN,415,15,5,2,2,Yes,40,No,2616.711295
1/2/2008 1:02,172,W1G 0PP,SW1P 3AU,385,15,5,1,2,No,80,No,1946.361991
1/2/2008 1:03,52,NW10 4UA,NW5 2QH,410,15,4,2,1.5,Yes,80,No,7900.052785
1/2/2008 1:04,344,EC4N 1SP,SE1 2BN,590,15,6,2,1.5,Yes,300,No,2146.227388
1/2/2008 1:11,356,W1K 4AL,SW1V 4QQ,535,15,6,2,2,Yes,80,No,2488.89373
1/2/2008 1:26,32,E1 0ND,SE1 2BN,445,15,4,1,2,No,300,No,2534.785395
1/2/2008 1:31,315,WC2E 8BT,SW1P 3AU,515,15,6,1,2,No,80,Yes,1426.215271
1/2/2008 1:43,298,WC2H 0HG,SW1P 3AU,400,15,6,1,1.5,No,40,No,1071.132578
